Sentences,Sentiment,Positive,Negative,Neutral,Compound
,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0
 ,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0
"The Alchemist
Paulo Coelho
Translated by Alan R","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
Clarke,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"
Published 1992.
ISBN 0-7225-3293-8.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"CONTENTS
Part One
Part T wo
Epilogue","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"PART ONE
The boy's name was Santiago","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Dusk was falling as the boy arrived with his
herd at an abandoned church","{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.5574}",0.0,0.277,0.723,-0.5574
"The roof had fallen in long ago, and an
enormous sycamore had grown on the spot where the sacristy had once
stood","{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.3612}",0.0,0.106,0.894,-0.3612
" 
He decided to spend the night there","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"He saw to it that all the sheep entered
through the ruined gate, and then laid some planks across it to prevent the
flock from wandering away during the night","{'neg': 0.096, 'neu': 0.87, 'pos': 0.034, 'compound': -0.4588}",0.034,0.096,0.87,-0.4588
"There were no wolves in the
region, but once an animal had strayed during the night, and the boy had
had to spend the entire next day searching for it.
He swept the floor with his jacket and lay down, using the book he had just
finished reading as a pillow ","{'neg': 0.032, 'neu': 0.968, 'pos': 0.0, 'compound': -0.1531}",0.0,0.032,0.968,-0.1531
"He told himself that he would have to start
reading thicker books: they lasted longer , and made more comfortable
pillows.
It was still dark when he awoke, and, looking up, he could see the stars
through the half-destroyed roof.
I wanted to sleep a little longer , he thought","{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.5563}",0.074,0.0,0.926,0.5563
"He had had the same dream that
night as a week ago, and once again he had awakened before it ended.
He arose and, taking up his crook, began to awaken the sheep that still slept.
He had noticed that, as soon as he awoke, most of his animals also began to
stir","{'neg': 0.0, 'neu': 0.962, 'pos': 0.038, 'compound': 0.25}",0.038,0.0,0.962,0.25
"It was as if some mysterious ener gy bound his life to that of the sheep,
with whom he had spent the past two years, leading them through the
countryside in search of food and water ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"""They are so used to me that they
know my schedule,"" he muttered","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"Thinking about that for a moment, he
realized that it could be the other way around: that it was he who had
become accustomed to their schedule.
But there were certain of them who took a bit longer to awaken","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.3919}",0.067,0.0,0.933,0.3919
"The boy
prodded them, one by one, with his crook, calling each by name","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
He had,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
always believed that the sheep were able to understand what he said,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
"So
there were times when he read them parts of his books that had made an
impression on him, or when he would tell them of the loneliness or the
happiness of a shepherd in the fields","{'neg': 0.068, 'neu': 0.799, 'pos': 0.133, 'compound': 0.4019}",0.133,0.068,0.799,0.4019
